id;total_personas;personas15_65;personas65;padron;long;lat;urbano
244;82;66;0;66;-70,75284695;-33,47208806;1
245;56;40;7;47;-70,73072826;-33,47267219;1
246;77;58;8;66;-70,73175582;-33,47281254;1
247;50;39;0;39;-70,73658541;-33,47270823;1
248;51;36;8;44;-70,7324383;-33,47243812;1
249;138;107;16;123;-70,73893718;-33,47303669;1
250;82;72;4;76;-70,74772108;-33,47219404;1
251;71;49;12;61;-70,72493162;-33,4728711;1
252;97;79;0;79;-70,73288521;-33,47295365;1
253;64;47;10;57;-70,73935816;-33,47252427;1
254;133;105;9;114;-70,75113386;-33,47221452;1
255;46;36;7;43;-70,74653346;-33,47228503;1
256;120;95;12;107;-70,74167643;-33,47272207;1
257;66;43;10;53;-70,72562942;-33,4727113;1
258;116;93;0;93;-70,73023642;-33,47311848;1
259;37;23;10;33;-70,72739121;-33,47286634;1
260;140;112;8;120;-70,74937672;-33,47233663;1
261;71;60;0;60;-70,73334499;-33,47313831;1
262;67;46;14;60;-70,72821977;-33,47295908;1
263;151;113;14;127;-70,7444836;-33,47246156;1
264;80;52;13;65;-70,72671658;-33,47305439;1
265;27;19;4;23;-70,72779108;-33,47286934;1
266;38;29;0;29;-70,72646985;-33,47278649;1
267;98;78;6;84;-70,75286896;-33,47234906;1
268;98;62;19;81;-70,72403741;-33,47282255;1
269;105;81;9;90;-70,74777278;-33,47245135;1
270;125;91;14;105;-70,75188125;-33,47292384;1
271;81;70;7;77;-70,73957589;-33,47280783;1
272;69;53;7;60;-70,74653326;-33,47254492;1
273;132;98;10;108;-70,75154359;-33,47294785;1
274;131;88;19;107;-70,74188124;-33,47299559;1
275;144;110;8;118;-70,75121581;-33,4729699;1
276;115;95;9;104;-70,75088464;-33,47298896;1
277;116;91;9;100;-70,75054443;-33,47301802;1
278;95;69;9;78;-70,73382879;-33,47332372;1
279;69;52;9;61;-70,72853448;-33,47316724;1
280;42;31;4;35;-70,73627252;-33,47303808;1
281;30;20;0;20;-70,73232201;-33,47286098;0
282;44;30;5;35;-70,72580459;-33,47298776;1
283;125;98;0;98;-70,75289964;-33,47260827;1
284;80;49;0;49;-70,79577474;-33,50360615;1
285;202;122;31;153;-70,76835718;-33,50458834;1
286;47;28;12;40;-70,72325962;-33,47324015;1
287;73;55;0;55;-70,76908932;-33,5040618;1
288;148;107;16;123;-70,74446276;-33,47278514;1
289;40;26;9;35;-70,77804245;-33,5038678;1
290;98;71;9;80;-70,74778324;-33,47271201;1
291;381;245;12;257;-70,78600821;-33,5046489;1
292;27;18;0;18;-70,73566505;-33,47300846;0
293;51;30;11;41;-70,76970604;-33,50411072;1
294;75;50;16;66;-70,77058215;-33,50409265;1
295;81;60;0;60;-70,78699754;-33,50391761;1
296;235;154;5;159;-70,78604887;-33,50372449;1
297;20;16;0;16;-70,79532852;-33,50374864;0
298;77;52;0;52;-70,7972856;-33,50354106;1
299;99;62;18;80;-70,77296477;-33,50420014;1
300;120;84;0;84;-70,79231893;-33,50374882;1
301;49;27;14;41;-70,77760697;-33,50409257;1
302;52;25;14;39;-70,7481861;-33,50445739;1
303;89;59;0;59;-70,79623677;-33,50381532;1
304;109;70;16;86;-70,73823635;-33,5045859;1
305;88;63;0;63;-70,7851028;-33,50405158;1
306;22;15;4;19;-70,7457548;-33,50445712;0
307;34;19;10;29;-70,74653568;-33,50471402;1
308;99;74;4;78;-70,79370671;-33,50379879;1
309;79;54;0;54;-70,79654614;-33,50389675;1
310;66;37;21;58;-70,7771696;-33,50429703;1
311;168;109;25;134;-70,74256141;-33,50505022;1
312;164;102;33;135;-70,74964536;-33,50525825;1
313;222;147;45;192;-70,76490393;-33,50480393;1
314;87;69;10;79;-70,75220603;-33,50492234;1
315;85;59;0;59;-70,79685047;-33,50397322;1
316;76;50;11;61;-70,77192824;-33,5044697;1
317;175;125;0;125;-70,79168808;-33,50469152;1
318;37;23;11;34;-70,74727816;-33,50471447;1
319;93;60;5;65;-70,7971587;-33,50404884;1
320;97;70;0;70;-70,78367518;-33,50434638;1
321;53;34;0;34;-70,78604772;-33,50407467;1
322;337;240;33;273;-70,77406493;-33,50451553;1
323;39;26;0;26;-70,79218189;-33,50403963;1
324;63;46;4;50;-70,79358806;-33,50405714;1
325;82;57;0;57;-70,79746804;-33,50412907;1
326;223;138;57;195;-70,74787992;-33,50570849;1
327;163;92;54;146;-70,7451656;-33,50565487;1
328;94;64;0;64;-70,78277558;-33,50447581;1
329;84;56;16;72;-70,73831438;-33,50490524;1
330;98;62;25;87;-70,77801665;-33,50475921;1
331;85;53;6;59;-70,78322294;-33,50446698;1
332;33;26;5;31;-70,75384208;-33,5047794;1
333;74;52;13;65;-70,75306504;-33,50502837;1
