id;total_personas;personas15_65;personas65;padron;long;lat;urbano
1052;111;83;12;95;-70,73779652;-33,48928835;1
1053;98;82;0;82;-70,73732139;-33,48913401;1
1054;50;35;0;35;-70,75899094;-33,4885064;1
1055;86;61;11;72;-70,73690679;-33,48914447;1
1056;75;51;0;51;-70,73649198;-33,48906469;1
1057;82;57;13;70;-70,73552488;-33,4887654;1
1058;108;85;6;91;-70,77088917;-33,488512;1
1059;101;78;13;91;-70,74220799;-33,4895665;1
1060;106;82;9;91;-70,75448362;-33,48909093;1
1061;39;28;0;28;-70,75728098;-33,48872234;1
1062;206;154;15;169;-70,77833083;-33,48908761;1
1063;109;83;11;94;-70,75898766;-33,48889196;1
1064;206;162;11;173;-70,77266852;-33,48882755;1
1065;162;113;8;121;-70,73312526;-33,48960631;1
1066;11;9;0;9;-70,76143341;-33,4887502;0
1067;179;135;14;149;-70,76860537;-33,48883314;1
1068;131;88;4;92;-70,73351869;-33,48968003;1
1069;97;74;8;82;-70,76913525;-33,48867885;1
1070;57;40;0;40;-70,75767165;-33,48890169;1
1071;54;42;0;42;-70,73976062;-33,48896656;1
1072;99;83;0;83;-70,77125994;-33,48872912;1
1073;144;113;6;119;-70,77046686;-33,48891278;1
1074;88;69;10;79;-70,75493244;-33,48928939;1
1075;89;68;0;68;-70,73557673;-33,48908893;1
1076;56;39;0;39;-70,77533251;-33,48863362;1
1077;140;117;5;122;-70,74178398;-33,48982686;1
1078;90;63;10;73;-70,76603428;-33,48913682;1
1079;48;32;9;41;-70,75805419;-33,48908054;1
1080;84;57;15;72;-70,75715032;-33,48925198;1
1081;203;155;5;160;-70,77922658;-33,48888985;1
1082;123;103;0;103;-70,76819258;-33,48903939;1
1083;79;58;12;70;-70,75532739;-33,48947396;1
1084;68;55;0;55;-70,77186773;-33,48884628;1
1085;143;98;6;104;-70,7327049;-33,48975858;1
1086;171;133;12;145;-70,74139456;-33,49003839;1
1087;112;87;4;91;-70,73229353;-33,48977318;1
1088;61;47;0;47;-70,73977255;-33,48929189;1
1089;115;90;5;95;-70,73186516;-33,48977944;1
1090;48;35;0;35;-70,7584311;-33,4892336;1
1091;76;55;5;60;-70,73563595;-33,4894152;1
1092;101;73;4;77;-70,77637711;-33,48899152;1
1093;91;72;7;79;-70,75571807;-33,48965413;1
1094;84;65;6;71;-70,74654504;-33,47280334;1
1095;123;99;7;106;-70,74096736;-33,49002119;1
1096;90;65;4;69;-70,73512353;-33,49705295;1
1097;319;221;18;239;-70,74481951;-33,49025728;1
1098;464;339;23;362;-70,73752339;-33,49708481;1
1099;71;58;0;58;-70,77162808;-33,4891363;1
1100;119;85;0;85;-70,75330904;-33,49275621;1
1101;76;58;10;68;-70,7397967;-33,47309119;1
1102;118;92;12;104;-70,76213768;-33,48942223;1
1103;94;63;16;79;-70,75615186;-33,48985738;1
1104;66;54;0;54;-70,74055317;-33,49007513;1
1105;113;75;10;85;-70,74346157;-33,48997111;1
1106;98;79;5;84;-70,77268092;-33,48931295;1
1107;204;148;31;179;-70,7614052;-33,49026828;1
1108;94;73;11;84;-70,74007535;-33,49006128;1
1109;65;50;0;50;-70,77703746;-33,48938318;1
1110;42;35;0;35;-70,76310123;-33,48935167;1
1111;133;101;16;117;-70,76028295;-33,48953229;1
1112;138;105;0;105;-70,76989902;-33,48958751;1
1113;98;81;10;91;-70,73600641;-33,4902002;1
1114;141;108;5;113;-70,76829159;-33,48954007;1
1115;87;66;0;66;-70,77742852;-33,48951936;1
1116;43;35;0;35;-70,73542674;-33,48978973;1
1117;92;75;8;83;-70,77159433;-33,48956215;1
1118;117;90;7;97;-70,75655902;-33,49002795;1
1119;822;614;38;652;-70,76439662;-33,4900599;1
1120;49;35;0;35;-70,77550794;-33,48937031;1
1121;95;78;7;85;-70,73917341;-33,48983444;1
1122;89;57;5;62;-70,78147427;-33,48941316;1
1123;90;71;0;71;-70,77779947;-33,48969226;1
1124;83;59;13;72;-70,73687949;-33,48990213;1
1125;166;114;16;130;-70,77971715;-33,48965875;1
1126;39;30;4;34;-70,77232724;-33,48952689;1
1127;84;69;5;74;-70,75696569;-33,49018706;1
1128;65;48;8;56;-70,76321345;-33,48960946;1
1129;78;57;9;66;-70,75892038;-33,48977217;1
1130;633;463;38;501;-70,76557134;-33,4901399;1
1131;82;66;0;66;-70,76953257;-33,48981243;1
1132;52;36;0;36;-70,76805946;-33,48983147;1
1133;92;68;0;68;-70,77816818;-33,48986465;1
1134;53;40;0;40;-70,76076082;-33,48978803;1
1135;55;40;0;40;-70,78080155;-33,48965637;1
1136;31;20;0;20;-70,73547598;-33,49013001;0
1137;179;133;11;144;-70,77698758;-33,49015847;1
1138;81;55;13;68;-70,75793652;-33,48994891;1
1139;180;128;7;135;-70,77438087;-33,48972961;1
1140;310;205;14;219;-70,78322253;-33,49034147;1
1141;102;81;7;88;-70,73914699;-33,49018077;1
1142;72;50;10;60;-70,76324253;-33,48982761;1
1143;79;67;0;67;-70,73694218;-33,49024958;1
1144;60;47;0;47;-70,75477148;-33,49030755;1
1145;99;66;11;77;-70,77856699;-33,49008553;1
1146;53;39;6;45;-70,76219941;-33,48995105;1
1147;62;50;0;50;-70,74422465;-33,49042129;1
1148;131;102;6;108;-70,75959441;-33,49051853;1
1149;342;245;23;268;-70,76674304;-33,49018979;1
1150;116;89;6;95;-70,76880752;-33,49008311;1
1151;94;69;12;81;-70,76054514;-33,49008494;1
1152;121;87;11;98;-70,77091278;-33,49002575;1
1153;110;78;7;85;-70,75911873;-33,49052259;1
1154;45;35;0;35;-70,77903669;-33,49008045;1
1155;51;33;0;33;-70,74384965;-33,49052187;1
1156;58;36;10;46;-70,76327417;-33,49004916;1
1157;62;41;6;47;-70,7586994;-33,49035503;1
1158;443;323;34;357;-70,77163953;-33,49100784;1
1159;204;152;4;156;-70,73318066;-33,49173003;1
1160;37;29;0;29;-70,73554303;-33,49056479;1
1161;104;77;8;85;-70,73909209;-33,49051744;1
1162;58;43;7;50;-70,75825755;-33,49037388;1
1163;158;105;13;118;-70,73720463;-33,49059051;1
1164;42;28;5;33;-70,77956722;-33,49007243;1
1165;43;35;0;35;-70,7433235;-33,49066524;1
1166;63;49;6;55;-70,75763955;-33,49036785;1
1167;52;38;0;38;-70,75539015;-33,49052329;1
1168;70;57;8;65;-70,76220623;-33,49029904;1
1169;150;107;9;116;-70,78104455;-33,49049533;1
1170;114;82;5;87;-70,77437225;-33,49055643;1
1171;60;43;6;49;-70,76330828;-33,49027135;1
1172;128;93;12;105;-70,76050201;-33,49042702;1
1173;139;108;4;112;-70,76974295;-33,49038035;1
1174;45;35;5;40;-70,77481521;-33,49058303;1
1175;105;67;16;83;-70,77396483;-33,4906846;1
1176;65;50;6;56;-70,74216328;-33,49088077;1
1177;317;221;22;243;-70,78255771;-33,4907383;1
1178;112;78;12;90;-70,7759986;-33,49061204;1
1179;105;81;0;81;-70,77355112;-33,49080814;1
1180;63;52;0;52;-70,76334249;-33,49048734;1
1181;31;27;0;27;-70,75516354;-33,49086928;1
1182;129;95;16;111;-70,75789916;-33,4908103;1
1183;117;88;10;98;-70,77314633;-33,49093341;1
1184;63;46;7;53;-70,76220618;-33,49068162;1
1185;55;36;12;48;-70,75592187;-33,49100419;1
1186;117;89;11;100;-70,7604539;-33,49076938;1
1187;106;77;11;88;-70,73969013;-33,49150373;1
1188;124;93;9;102;-70,73928134;-33,49152182;1
1189;86;68;0;68;-70,74009648;-33,49147456;1
1190;136;111;5;116;-70,73884689;-33,49157409;1
1191;91;67;11;78;-70,74049792;-33,49146084;1
1192;75;55;12;67;-70,74460257;-33,49121414;1
1193;128;101;9;110;-70,73832567;-33,49161987;1
1194;144;112;9;121;-70,7378857;-33,49163828;1
1195;35;26;5;31;-70,74099436;-33,49109914;1
1196;116;88;0;88;-70,73748818;-33,49166779;1
1197;62;46;8;54;-70,76337224;-33,49070647;1
1198;118;91;9;100;-70,73708465;-33,49169305;1
1199;100;84;0;84;-70,74554906;-33,49121256;1
1200;76;54;8;62;-70,74367017;-33,49105456;1
1201;71;53;8;61;-70,74242763;-33,49118039;1
1202;133;110;8;118;-70,73667822;-33,4917195;1
1203;140;112;6;118;-70,73628254;-33,4917736;1
1204;147;109;10;119;-70,73587007;-33,49186343;1
1205;57;43;0;43;-70,77556279;-33,49088574;1
1206;47;33;0;33;-70,75636509;-33,49116026;1
1207;521;376;39;415;-70,76575897;-33,4912759;1
1208;83;62;0;62;-70,78433156;-33,4908389;1
1209;74;47;0;47;-70,76341306;-33,49092412;1
1210;78;59;8;67;-70,75686347;-33,49137167;1
1211;52;33;11;44;-70,76179045;-33,49112817;1
1212;407;288;31;319;-70,78271286;-33,49225246;1
1213;92;65;10;75;-70,76040636;-33,49111068;1
1214;57;48;4;52;-70,76219148;-33,4911655;1
1215;69;56;0;56;-70,75735606;-33,49139597;1
1216;94;66;12;78;-70,74373162;-33,49134828;1
1217;41;29;4;33;-70,76263067;-33,4912312;1
1218;93;66;14;80;-70,74547648;-33,49152313;1
1219;61;40;12;52;-70,75775455;-33,4914713;1
1220;59;49;0;49;-70,7411101;-33,49145165;1
1221;65;46;8;54;-70,76344428;-33,49114378;1
1222;73;50;7;57;-70,75815934;-33,49151862;1
1223;64;50;0;50;-70,74242439;-33,49152739;1
1224;73;46;13;59;-70,7585664;-33,49155835;1
1225;323;215;12;227;-70,78080416;-33,49199165;1
1226;64;50;6;56;-70,75897248;-33,49160633;1
1227;170;131;16;147;-70,74603274;-33,49235682;1
1228;60;46;9;55;-70,74176117;-33,49186367;1
1229;85;64;0;64;-70,74378501;-33,49163462;1
1230;60;46;0;46;-70,75942026;-33,49165406;1
1231;169;125;10;135;-70,76818476;-33,49158082;1
1232;85;60;7;67;-70,77471941;-33,49133954;1
1233;550;400;30;430;-70,76464847;-33,49170241;1
1234;48;34;8;42;-70,7634829;-33,49136923;1
1235;62;44;9;53;-70,75982478;-33,4917138;1
1236;63;51;0;51;-70,74541063;-33,49181939;1
1237;249;160;11;171;-70,77756647;-33,49172758;1
1238;47;31;0;31;-70,76995329;-33,49146323;1
1239;54;38;8;46;-70,76022856;-33,49176738;1
1240;51;34;8;42;-70,74717119;-33,49182974;1
1241;42;36;0;36;-70,74116507;-33,49181781;1
1242;60;48;5;53;-70,76063123;-33,49180623;1
1243;65;45;10;55;-70,74245553;-33,49181979;1
1244;61;45;6;51;-70,76103663;-33,49184349;1
1245;69;49;6;55;-70,76144819;-33,49189544;1
1246;191;140;4;144;-70,78397289;-33,49211533;1
1247;63;42;11;53;-70,76184823;-33,49194451;1
1248;122;86;12;98;-70,74469742;-33,49244797;1
1249;77;56;10;66;-70,74383658;-33,49196715;1
1250;53;47;0;47;-70,76350985;-33,49162888;1
1251;59;41;5;46;-70,76224861;-33,49200102;1
1252;40;29;0;29;-70,7812417;-33,49152395;1
1253;62;47;5;52;-70,745346;-33,49211717;1
1254;161;121;9;130;-70,77319527;-33,4918163;1
1255;73;55;10;65;-70,76271366;-33,49207789;1
1256;60;52;0;52;-70,74699558;-33,49215179;1
1257;89;69;4;73;-70,77017724;-33,4917798;1
1258;201;144;13;157;-70,78358632;-33,4922256;1
1259;64;52;0;52;-70,74250057;-33,49210762;1
1260;66;51;4;55;-70,76355093;-33,49185091;1
1261;117;84;9;93;-70,74150031;-33,49273962;1
1262;108;81;6;87;-70,77494916;-33,49196341;1
1263;89;63;7;70;-70,74389326;-33,4922527;1
1264;58;32;0;32;-70,74071909;-33,49230784;1
1265;142;108;7;115;-70,78319319;-33,49232445;1
1266;614;438;77;515;-70,7400284;-33,49377973;1
1267;559;370;15;385;-70,77754825;-33,49262483;1
1268;20;15;0;15;-70,74874227;-33,49232957;0
1269;70;50;10;60;-70,74528264;-33,49241781;1
1270;107;80;0;80;-70,77051567;-33,4921264;1
1271;51;42;5;47;-70,74681791;-33,49246387;1
1272;58;44;4;48;-70,76358509;-33,49206348;1
1273;85;63;10;73;-70,74195092;-33,49280871;1
1274;99;83;10;93;-70,76862344;-33,49221417;1
1275;125;98;6;104;-70,73666864;-33,4933785;1
1276;273;207;15;222;-70,76750518;-33,49264098;1
1277;58;38;7;45;-70,7423881;-33,49285416;1
1278;86;63;12;75;-70,74966102;-33,49265029;1
1279;280;187;10;197;-70,78185804;-33,49283052;1
1280;163;115;23;138;-70,7709208;-33,49253561;1
1281;409;277;21;298;-70,77561815;-33,49259715;1
1282;45;32;6;38;-70,74082915;-33,49265568;1
1283;57;43;4;47;-70,76362169;-33,49229267;1
1284;148;116;0;116;-70,773417;-33,49244935;1
1285;107;75;7;82;-70,78169441;-33,49244042;1
1286;58;39;0;39;-70,7466433;-33,49277118;1
1287;30;25;0;25;-70,74522156;-33,49271538;1
1288;37;22;6;28;-70,74287777;-33,49289795;1
1289;126;77;31;108;-70,74820968;-33,4932766;1
1290;1489;1095;79;1174;-70,73325028;-33,49332603;1
1291;140;104;7;111;-70,7352759;-33,49310045;1
1292;46;33;0;33;-70,73952675;-33,49304134;1
1293;93;72;7;79;-70,74945331;-33,49303052;1
1294;85;55;4;59;-70,77832851;-33,49261255;1
1295;23;14;7;21;-70,74093445;-33,49299827;1
1296;27;21;0;21;-70,74624812;-33,49299854;1
1297;164;114;26;140;-70,74434036;-33,49330246;1
1298;105;83;12;95;-70,75095185;-33,49309538;1
1299;31;27;0;27;-70,74514863;-33,49304576;1
1300;574;407;27;434;-70,77269842;-33,49388475;1
1301;68;41;0;41;-70,77499655;-33,49282948;1
1302;114;76;0;76;-70,7758855;-33,49294581;1
1303;224;165;12;177;-70,77143837;-33,49308464;1
1304;19;13;6;19;-70,74666806;-33,49333874;0
1305;29;22;0;22;-70,74606057;-33,49332202;1
1306;55;39;6;45;-70,74103898;-33,49333756;1
1307;101;76;12;88;-70,74928713;-33,493414;1
1308;430;315;23;338;-70,73839747;-33,49547702;1
1309;116;86;15;101;-70,75012972;-33,49389502;1
1310;90;71;0;71;-70,7357638;-33,49361858;1
1311;98;60;13;73;-70,74261894;-33,49347293;1
1312;85;71;0;71;-70,76983263;-33,49320461;1
1313;75;53;7;60;-70,73540616;-33,49367;1
1314;187;137;19;156;-70,75273854;-33,49384019;1
1315;67;56;0;56;-70,73508761;-33,49372711;1
1316;399;286;15;301;-70,77531895;-33,49355701;1
1317;28;21;0;21;-70,7510464;-33,49349599;1
1318;48;41;0;41;-70,73476036;-33,49378262;1
1319;159;105;29;134;-70,74198162;-33,49430109;1
1320;85;49;20;69;-70,74412694;-33,49372606;1
1321;71;58;0;58;-70,73443514;-33,49383542;1
1322;309;187;56;243;-70,76284344;-33,49418558;1
1323;68;48;9;57;-70,74573899;-33,49370319;1
1324;86;65;5;70;-70,73412903;-33,49394072;1
1325;60;43;0;43;-70,77759409;-33,49342797;1
1326;87;67;6;73;-70,74910909;-33,49377489;1
1327;30;17;0;17;-70,74114542;-33,49370255;0
1328;80;61;0;61;-70,77308247;-33,49351906;1
1329;95;74;0;74;-70,73381225;-33,49398954;1
1330;72;55;7;62;-70,75057764;-33,49394633;1
1331;66;51;0;51;-70,7334822;-33,49399139;1
1332;76;60;0;60;-70,78195137;-33,49342831;1
1333;82;55;13;68;-70,7427106;-33,49380609;1
1334;74;59;0;59;-70,73316131;-33,49404138;1
1335;67;50;0;50;-70,73284582;-33,49409486;1
1336;327;233;14;247;-70,78348872;-33,49393669;1
1337;32;16;0;16;-70,78379889;-33,49340006;0
1338;80;64;0;64;-70,73250219;-33,4942035;1
1339;390;276;51;327;-70,74590326;-33,4947531;1
1340;60;47;7;54;-70,75101417;-33,49410839;1
1341;87;65;0;65;-70,73217804;-33,4942599;1
1342;98;75;0;75;-70,77886333;-33,49361898;1
1343;820;528;153;681;-70,76693924;-33,49486916;1
1344;204;145;7;152;-70,78195497;-33,49384389;1
1345;99;72;4;76;-70,73181168;-33,49432762;1
1346;0;0;0;0;-70,73574577;-33,49425688;0
1347;54;36;6;42;-70,74124956;-33,49403281;1
1348;101;79;10;89;-70,74892772;-33,49415497;1
1349;137;93;25;118;-70,74468283;-33,49411166;1
1350;106;60;30;90;-70,76063674;-33,49401366;1
1351;111;92;0;92;-70,73526088;-33,49447579;1
1352;76;48;8;56;-70,74280263;-33,49414312;1
1353;74;54;0;54;-70,77448992;-33,49375321;1
1354;76;54;5;59;-70,73996377;-33,49448288;1
1355;126;94;0;94;-70,73493397;-33,49453354;1
1356;403;284;18;302;-70,77884034;-33,49418404;1
1357;113;91;8;99;-70,75228661;-33,49428789;1
1358;129;96;6;102;-70,73460632;-33,49458574;1
1359;90;58;7;65;-70,73696011;-33,49440695;1
1360;51;29;12;41;-70,74135181;-33,49437123;1
1361;107;81;8;89;-70,73365788;-33,49474281;1
1362;114;87;6;93;-70,73430211;-33,49469109;1
1363;93;64;5;69;-70,77580791;-33,49410544;1
1364;72;58;0;58;-70,73333766;-33,49479096;1
1365;80;62;0;62;-70,7339883;-33,49473968;1
1366;124;98;0;98;-70,77435417;-33,49421934;1
1367;109;82;5;87;-70,73302178;-33,49484545;1
1368;37;27;0;27;-70,76124033;-33,49425026;1
1369;46;32;4;36;-70,74335562;-33,49463341;1
1370;51;42;4;46;-70,73927866;-33,49475961;1
1371;74;56;0;56;-70,74295121;-33,49469356;1
1372;92;69;17;86;-70,75209595;-33,49463692;1
1373;56;31;12;43;-70,75917359;-33,49440403;1
1374;60;43;7;50;-70,74254654;-33,49474618;1
1375;30;0;0;0;-70,75805747;-33,49456882;0
1376;49;38;0;38;-70,7323674;-33,49472544;1
1377;26;0;0;0;-70,76071054;-33,49440472;0
1378;133;98;9;107;-70,73853293;-33,49486619;1
1379;79;64;0;64;-70,73584936;-33,49471401;1
1380;44;35;0;35;-70,74764751;-33,49471084;1
1381;54;41;4;45;-70,75063544;-33,49466853;1
1382;344;245;13;258;-70,78182312;-33,49483788;1
1383;44;33;0;33;-70,7414564;-33,49471179;1
1384;24;14;0;14;-70,74912226;-33,49468846;0
1385;0;0;0;0;-70,73780154;-33,49485886;0
1386;70;56;0;56;-70,7772055;-33,49433364;1
1387;125;94;14;108;-70,73747416;-33,49499214;1
1388;71;47;0;47;-70,78175586;-33,49431452;1
1389;44;29;8;37;-70,76147208;-33,49457607;1
1390;117;94;8;102;-70,73674489;-33,4952859;1
1391;55;37;4;41;-70,76398404;-33,49449124;1
1392;45;34;0;34;-70,73254281;-33,49497557;1
1393;46;36;5;41;-70,75938663;-33,49479215;1
1394;125;94;6;100;-70,77582486;-33,49453267;1
1395;79;48;19;67;-70,75200207;-33,49504387;1
1396;54;32;15;47;-70,74968494;-33,49514252;1
1397;46;36;0;36;-70,73595524;-33,49500317;1
1398;65;50;0;50;-70,77873274;-33,49466701;1
1399;42;23;13;36;-70,76088879;-33,49483978;1
1400;241;165;41;206;-70,76125343;-33,49551554;1
1401;47;35;6;41;-70,74156604;-33,49507213;1
1402;86;60;4;64;-70,73553651;-33,49529173;1
1403;138;104;0;104;-70,77712908;-33,49484742;1
1404;57;32;14;46;-70,75012355;-33,49517305;1
1405;69;56;8;64;-70,73521015;-33,49534731;1
1406;69;45;9;54;-70,76327669;-33,49485019;1
1407;27;19;5;24;-70,76043666;-33,49497196;1
1408;34;25;0;25;-70,73270814;-33,49522268;1
1409;83;61;8;69;-70,73489679;-33,49539821;1
1410;80;61;9;70;-70,74440662;-33,49511683;1
1411;54;43;4;47;-70,76396651;-33,49484866;1
1412;59;47;0;47;-70,73458543;-33,49544831;1
1413;38;20;14;34;-70,75075117;-33,49516251;1
1414;24;15;0;15;-70,73608335;-33,49555421;0
1415;41;26;10;36;-70,74746133;-33,49528353;1
1416;39;26;0;26;-70,75843238;-33,49507469;1
1417;98;71;0;71;-70,78335965;-33,49489151;1
1418;76;59;5;64;-70,73426871;-33,49550086;1
1419;50;35;0;35;-70,76258596;-33,49508354;1
1420;25;17;4;21;-70,74351972;-33,49529906;1
1421;35;22;7;29;-70,75994013;-33,49511802;1
1422;111;92;5;97;-70,73342813;-33,49541996;1
1423;200;141;24;165;-70,7426779;-33,49599783;1
1424;56;36;5;41;-70,74274311;-33,4954648;1
1425;33;19;10;29;-70,75782824;-33,49542059;1
1426;42;28;10;38;-70,74234272;-33,49553026;1
1427;70;46;12;58;-70,75931672;-33,49529973;1
1428;60;33;20;53;-70,75192791;-33,49552047;1
1429;65;44;15;59;-70,74196626;-33,49563454;1
1430;18;0;0;0;-70,75315169;-33,49536844;0
1431;61;48;5;53;-70,74157563;-33,4956897;1
1432;68;49;11;60;-70,74447636;-33,49547428;1
1433;67;37;17;54;-70,76321808;-33,49521367;1
1434;138;93;4;97;-70,77864831;-33,49513381;1
1435;58;35;14;49;-70,74113133;-33,495781;1
1436;56;39;0;39;-70,76395579;-33,49522537;1
1437;84;64;5;69;-70,73358017;-33,49567211;1
1438;226;170;26;196;-70,74161971;-33,49705807;1
1439;147;96;11;107;-70,78320671;-33,49520997;1
1440;15;11;0;11;-70,75368864;-33,49552458;0
1441;75;51;15;66;-70,74047803;-33,49599376;1
1442;42;32;6;38;-70,75852482;-33,49553728;1
1443;14;0;0;0;-70,75698004;-33,49568913;0
1444;41;27;0;27;-70,75637358;-33,49572196;1
1445;212;148;26;174;-70,74022017;-33,49672386;1
1446;63;36;11;47;-70,76203008;-33,4957265;1
1447;109;73;14;87;-70,73960687;-33,49615461;1
1448;32;26;0;26;-70,73567799;-33,49590716;1
1449;77;57;0;57;-70,78152846;-33,49527485;1
1450;53;27;18;45;-70,75581346;-33,49579086;1
1451;144;92;38;130;-70,75961786;-33,49589766;1
1452;56;43;10;53;-70,75452725;-33,49575615;1
1453;235;182;20;202;-70,73938932;-33,49685431;1
1454;76;52;14;66;-70,74727281;-33,49585766;1
1455;69;53;5;58;-70,73537008;-33,4960412;1
1456;114;68;31;99;-70,75026947;-33,49574087;1
1457;70;53;0;53;-70,73370978;-33,49592625;1
1458;667;509;38;547;-70,73853326;-33,49656433;1
1459;70;56;0;56;-70,73506978;-33,4961542;1
1460;66;48;9;57;-70,74453173;-33,49580398;1
1461;33;25;5;30;-70,75529469;-33,49585104;1
1462;79;58;5;63;-70,73476763;-33,4962369;1
1463;69;47;17;64;-70,75340573;-33,49598779;1
1464;120;76;19;95;-70,76309874;-33,49558892;1
1465;60;42;9;51;-70,7640591;-33,49581644;1
1466;120;84;0;84;-70,73445693;-33,49630443;1
1467;513;386;16;402;-70,73732828;-33,49652875;1
1468;49;28;11;39;-70,75186688;-33,49600053;1
1469;164;111;10;121;-70,78157004;-33,49581843;1
1470;75;58;0;58;-70,73385575;-33,49617319;1
1471;104;71;14;85;-70,73641849;-33,49645423;1
1472;98;82;0;82;-70,73607083;-33,49654522;1
1473;62;46;7;53;-70,7434506;-33,49620142;1
1474;105;68;25;93;-70,75031078;-33,4961624;1
1475;56;39;10;49;-70,7446009;-33,49615613;1
1476;59;45;6;51;-70,76260215;-33,49602206;1
1477;56;38;6;44;-70,76316252;-33,49601498;1
1478;33;22;5;27;-70,76365273;-33,49600954;1
1479;85;56;0;56;-70,73574402;-33,49666714;1
1480;67;43;9;52;-70,76643708;-33,49611051;1
1481;95;54;33;87;-70,74707447;-33,49644523;1
1482;54;34;0;34;-70,7339795;-33,49642749;1
1483;59;40;7;47;-70,76693851;-33,4961312;1
1484;114;76;14;90;-70,74330131;-33,49661074;1
1485;47;29;16;45;-70,76744113;-33,49614936;1
1486;40;25;9;34;-70,76795382;-33,49616492;1
1487;131;94;0;94;-70,78304559;-33,49614049;1
1488;57;33;10;43;-70,76851662;-33,49617919;1
1489;107;75;18;93;-70,74197443;-33,49659654;1
1490;103;79;5;84;-70,73545403;-33,49694585;1
1491;96;53;27;80;-70,75644472;-33,49681431;1
1492;29;22;0;22;-70,73411734;-33,49670403;1
1493;76;43;22;65;-70,75512669;-33,49680702;1
1494;45;23;0;23;-70,75438678;-33,49665723;1
1495;172;101;53;154;-70,75210099;-33,49677079;1
1496;33;26;0;26;-70,72297376;-33,47348741;1
1497;107;88;4;92;-70,75444858;-33,47272219;1
1498;112;76;19;95;-70,74209142;-33,47326716;1
1499;86;56;15;71;-70,76365501;-33,49663898;1
1500;71;41;18;59;-70,72427717;-33,47335123;1
1501;22;16;0;16;-70,76297057;-33,49663593;0
1502;58;34;9;43;-70,76257474;-33,49664569;1
1503;305;204;54;258;-70,76119577;-33,49737421;1
1504;416;306;41;347;-70,75959026;-33,49806548;1
1505;63;47;0;47;-70,73450883;-33,4969806;1
1506;51;38;5;43;-70,74899389;-33,49677863;1
1507;87;61;14;75;-70,74344097;-33,49697742;1
1508;121;86;11;97;-70,7399354;-33,49738013;1
1509;87;61;10;71;-70,74083421;-33,49727492;1
1510;662;427;123;550;-70,74722623;-33,4980623;1
1511;89;65;14;79;-70,76455151;-33,49689875;1
1512;81;57;12;69;-70,76506365;-33,49691051;1
1513;85;65;9;74;-70,76556091;-33,49692274;1
1514;43;31;9;40;-70,74775172;-33,49704651;1
1515;48;26;14;40;-70,76658268;-33,49674272;1
1516;46;34;0;34;-70,74737784;-33,49710474;1
1517;39;24;10;34;-70,76711958;-33,49675378;1
1518;86;70;0;70;-70,73621978;-33,49713165;1
1519;105;68;16;84;-70,7680974;-33,49670525;1
1520;53;32;7;39;-70,74701456;-33,49715405;1
1521;95;60;21;81;-70,75054205;-33,49706246;1
1522;51;37;5;42;-70,74664747;-33,4972108;1
1523;514;330;101;431;-70,76976297;-33,49871481;1
1524;31;23;4;27;-70,74597006;-33,49716378;1
1525;45;26;10;36;-70,77109221;-33,49694965;1
1526;60;46;0;46;-70,73461523;-33,49727872;1
1527;66;45;10;55;-70,771874;-33,49709382;1
1528;97;73;11;84;-70,74208807;-33,49733472;1
1529;36;20;10;30;-70,77264689;-33,49698508;1
1530;67;44;9;53;-70,74352313;-33,49732349;1
1531;314;240;11;251;-70,73566129;-33,49754198;1
1532;482;364;22;386;-70,73767302;-33,49771542;1
1533;29;20;0;20;-70,77342185;-33,49724881;0
1534;195;106;62;168;-70,75272664;-33,49782343;1
1535;110;73;21;94;-70,75368493;-33,4979576;1
1536;143;89;33;122;-70,7543981;-33,49796259;1
1537;116;77;19;96;-70,75068692;-33,49758776;1
1538;116;83;15;98;-70,76808204;-33,49713225;1
1539;716;513;68;581;-70,76320724;-33,49783009;1
1540;50;35;0;35;-70,73472743;-33,49756328;1
1541;102;80;0;80;-70,73881905;-33,49758209;1
1542;160;103;21;124;-70,77513982;-33,49730707;1
1543;116;78;25;103;-70,7756108;-33,49742546;1
1544;85;53;17;70;-70,74576572;-33,49759112;1
1545;237;155;5;160;-70,76682664;-33,49766094;1
1546;1056;775;62;837;-70,74191764;-33,49976925;1
1547;72;53;12;65;-70,74355154;-33,49765452;1
1548;58;48;0;48;-70,73673157;-33,49780213;1
1549;38;24;10;34;-70,7478606;-33,49759397;1
1550;132;83;27;110;-70,7760404;-33,49755053;1
1551;28;21;0;21;-70,7831534;-33,49864998;1
1552;79;58;7;65;-70,7364014;-33,49788959;1
1553;36;24;6;30;-70,74748691;-33,49767053;1
1554;64;50;0;50;-70,73610211;-33,49796824;1
1555;125;78;22;100;-70,77648581;-33,49767178;1
1556;93;71;8;79;-70,73889564;-33,49786962;1
1557;101;70;22;92;-70,75512819;-33,49811214;1
1558;83;63;0;63;-70,73579938;-33,49801773;1
1559;182;116;39;155;-70,75688509;-33,49830135;1
1560;22;14;0;14;-70,74676097;-33,49780774;0
1561;91;54;23;77;-70,77187802;-33,49796724;1
1562;72;56;0;56;-70,73547318;-33,49806271;1
1563;45;31;7;38;-70,74639767;-33,49787374;1
1564;112;66;31;97;-70,77701139;-33,49778725;1
1565;39;27;6;33;-70,76447948;-33,4977338;1
1566;42;22;5;27;-70,76779237;-33,49757116;1
1567;129;95;10;105;-70,74230179;-33,49799021;1
1568;48;37;0;37;-70,74343885;-33,49797161;1
